Endomorphic,Mesomorphic,EctoMorphic,Id,Mass,Height,SkinfoldTriceps,SkinfoldSubscapular,SkinfoldSupraspinale,SkinfoldMedialCalf,BreadthHumerus,BreadthFemur,GirthArmUpper,GirthCalfStanding
3.22485625521548,1.646672,2.22114672136848,1,67.41,171.25,11.7,5.95,14.08,12.78,6.81,8.31,25.16,27.57
1.92112088544248,4.572886,2.70126292772946,2,55.31,162.82,1.61,9.49,8.02,18.36,6.91,8.95,25.66,34.76
2.51353238758717,6.707484,2.5602684598496,3,59.64,166.21,7.9,9.74,6.84,7.26,6.81,8.98,30.92,44.68
2.85125486756906,5.964962,0.327455345460283,4,78.9,166.35,8.99,14.9,3.56,10.16,6.52,10.16,30.8,37.88
4.2204853391635,3.887176,1.4428935455863,5,66.25,165.96,18.76,15.37,6.22,9.36,5.89,8.88,27.78,37.38
5.05794786217325,4.857912,1.79313544747414,6,53.84,156.68,13.47,19.78,13.27,8.42,6.94,8.17,32.56,26.62
2.00699346067039,4.404847,1.4585082004885,7,67.12,166.77,3.51,11.33,5.45,8.05,6.77,9.15,31.09,29.78
4.31324898025775,4.510759,0.1,8,81.06,163.36,19.31,10.38,10.96,17.33,6.88,8.94,20.38,43.14
3.25105226070703,1.376815,5.33288077423822,9,51.18,172.01,15.16,1.29,15.67,13.67,6.44,8.94,23.88,28.12
2.40717587737043,2.617344,2.65809814185829,10,71.86,177.42,3.89,12,9.27,11.24,6.74,8.23,28.41,34.43
4.1220140750454,3.757786,0.420000058407325,11,83.58,170.45,15,11.67,13.75,14.54,7.04,9.35,29.96,29.88
1.64872736846703,5.650977,1.60554010176779,12,59.88,161.33,3.63,4.18,9,9.09,6.45,9.26,29.16,36.76
4.26788863330945,3.21653,5.23825194348052,13,45.87,165.38,10.2,16.41,14.08,4.7,6.73,8.35,26.76,29.97
2.81621643479395,2.995584,5.41540029188419,14,53.33,174.81,6.5,9.55,12.47,17.46,6.92,8.65,30.35,30.79
