SPOL,VT,MT,BIAKR_R,NAB_NAD1,NAB_NAD_2,NAB_NAD_3,NAB_NAD,NAB_LED1,NAB_LED2,NAB_LED3,NAB_LED,BIKOND_LA,BIKOND_KO,OPS_GL,OPS_NAD_EXT,OPS_NAD_FLEX,SJE_V,RASP_RUK,DUB_PK,SIR_PK,NAB_TRB1,NAB_TRB2,NAB_TRB3,NAB_TRB,NAB_SUP1,NAB_SUP2,NAB_SUP3,NAB_SUP,NAB_GRUD1,NAB_GRUD2,NAB_GRUD3,OPS_GK_1,OPS_GK_2,OPS_GK_3,SIR_GL,SIR_RUC_Z,OPS_POT,DUZ_NOG,DUZ_NAT,DUZ_POT,BIKRIST_R,NAB_NAT1,NAB_NAT2,NAB_NAT3,NAB_NAT,NAB_POT1,NAB_POT2,NAB_POT3,NAB_POT,SIR_SAK,DUZ_SAK,DUZ_GL,OPS_TRB_U,OPS_TRB_C,OPS_STR,OPS_KUK,DUZ_RUK,DUZ_NAD,DUZ_POD,DUZ_STOP,SIR_STOP,SIR_SK_Z,BITROH_R,KOZ_POD1,KOZ_POD2,KOZ_POD3,KOZ_BIC1,KOZ_BIC2,KOZ_BIC3,KOZ_SAK1,KOZ_SAK2,KOZ_SAK3,OPS_POD,OPS_NAT,Somatotypo_Endo,Somatotypo_Meso,Somatotypo_Ecto,Eston_Endo,Eston_Meso,Eston_Ecto
M,184.80,68.10,39.25,6.40,6.60,6.00,6.33,9.20,8.80,9.20,9.07,7.10,9.70,57.50,28.50,30.00,100.80,182.40,19.25,27.25,6.40,6.60,6.80,6.60,5.20,4.60,4.80,4.87,3.60,3.60,3.40,90.00,88.50,86.00,13.90,5.70,34.50,,,,,,,,0.00,4.40,4.60,4.60,4.53,,20.80,,,,69.00,91.20,81.30,35.40,23.40,28.40,9.70,7.80,32.00,4.00,4.40,4.20,3.00,3.60,3.20,3.00,,,25.90,51.40,1.76000,3.21000,4.54000,1.75,3.22,4.59
M,182.50,80.20,39.75,15.00,15.00,14.90,14.97,14.60,14.40,14.00,14.33,6.80,10.40,62.50,27.10,31.20,97.00,178.10,18.50,26.50,18.20,18.10,18.10,18.13,17.40,17.20,17.40,17.33,5.40,5.10,5.30,93.00,89.10,86.20,15.50,6.10,40.30,,,,,,,,0.00,15.30,,,15.30,,,,,89.60,83.00,103.20,,,,,,,,,,,,,,,,,,,4.42000,4.50000,2.39000,4.30,4.50,2.44
M,178.60,68.60,4.75,6.00,7.80,7.40,7.07,8.40,8.00,7.60,8.00,7.10,8.60,56.50,30.50,34.00,94.00,179.70,19.00,28.25,6.80,6.40,6.60,6.60,5.40,5.20,5.20,5.27,4.60,4.40,4.20,91.50,89.00,86.00,14.40,5.90,39.00,,,,,,,,0.00,6.60,7.00,6.80,6.80,,,,,78.00,73.40,80.40,,,,,,,,,,,,,,,,,,,1.84000,4.79000,3.35000,1.83,4.79,3.40
M,198.20,102.10,43.25,10.60,13.00,13.40,12.33,12.80,14.60,15.40,14.27,7.60,10.50,59.00,35.50,39.40,101.10,197.40,23.50,31.00,18.00,17.40,18.20,17.87,12.00,10.40,10.20,10.87,5.40,4.80,5.00,108.40,103.20,96.70,14.60,6.30,40.20,,,,,,,,0.00,8.20,8.20,9.40,8.60,,20.60,,,92.00,88.60,106.10,86.70,37.40,27.10,30.20,10.40,8.10,35.25,6.20,5.40,5.80,4.20,4.20,4.20,3.00,,,31.30,67.40,3.29000,4.87000,2.46000,3.24,4.88,2.51
M,182.20,79.25,45.00,5.70,5.60,5.60,5.63,7.80,7.60,7.80,7.73,7.00,9.00,55.00,30.50,33.00,93.90,187.90,22.00,31.00,9.00,11.00,10.00,10.00,4.40,5.20,5.00,4.87,4.10,4.60,4.80,101.00,100.00,96.00,14.10,5.40,40.00,,,,,,,,0.00,5.80,6.00,6.00,5.93,,19.50,,,87.50,80.00,98.50,83.40,38.60,26.30,25.90,10.10,6.70,31.00,5.00,4.60,5.00,5.20,4.80,5.00,2.40,,,29.00,55.50,1.56000,4.48000,2.46000,1.55,4.49,2.52
M,184.00,77.20,42.25,4.80,4.80,5.00,4.87,8.00,7.60,8.00,7.87,7.00,9.50,52.50,34.00,39.50,95.50,184.30,19.75,29.00,8.00,8.40,7.80,8.07,6.20,6.40,6.60,6.40,4.20,4.20,4.20,104.00,99.50,94.00,15.00,6.00,37.70,,,,,,,,0.00,8.00,8.20,8.00,8.07,,19.70,,,81.00,78.00,95.50,78.60,34.70,23.90,27.50,10.30,7.60,32.25,5.20,5.00,4.80,3.60,4.00,4.00,3.00,,,29.00,57.00,1.64000,5.38000,3.05000,1.63,5.39,3.10
M,178.60,72.70,41.00,8.00,9.00,9.00,8.67,13.00,11.00,10.40,11.47,6.50,9.60,61.50,32.50,34.00,91.80,181.10,18.50,26.50,14.00,14.00,14.00,14.00,6.00,6.60,6.40,6.33,6.00,5.40,5.80,85.50,83.00,80.50,15.80,5.80,38.50,,,,,,,,0.00,8.00,9.20,8.00,8.40,,17.50,,,,75.00,92.00,78.90,36.30,26.00,27.10,10.00,7.20,31.00,5.60,5.20,5.60,3.00,3.60,3.60,3.00,,,26.50,62.00,2.53000,4.74000,2.74000,2.50,4.74,2.79
M,170.50,69.20,41.25,9.10,8.50,9.30,8.97,13.00,13.20,13.30,13.17,6.40,9.50,54.00,29.00,34.00,87.50,176.00,21.00,27.75,10.80,10.40,10.80,10.67,5.20,4.80,5.40,5.13,7.80,8.20,7.80,92.50,94.00,85.50,14.80,5.50,34.70,,,,,,,,0.00,7.60,7.80,7.80,7.73,,19.00,,,78.00,74.20,88.40,78.60,32.10,26.80,26.40,9.10,7.10,32.00,4.60,4.80,4.40,4.00,4.20,4.20,2.80,3.00,3.00,31.70,57.60,2.75000,5.05000,1.81000,2.72,5.05,1.86
M,173.90,83.30,40.75,14.30,14.70,14.80,14.60,19.80,20.00,20.20,20.00,6.00,9.30,60.00,28.50,33.30,90.50,175.80,20.75,28.50,1.80,1.60,2.00,1.80,14.60,14.80,14.40,14.60,15.20,15.40,15.00,100.00,99.60,96.60,15.50,5.10,35.20,,,,,,,,0.00,14.60,14.80,14.80,14.73,,17.20,,,97.00,87.70,103.00,77.90,34.00,25.50,25.50,8.80,7.30,33.00,7.60,7.80,7.80,18.00,18.20,18.20,3.60,3.80,3.80,31.00,64.50,4.84000,3.87000,0.80000,4.69,3.87,0.83
M,187.00,78.40,41.30,18.20,18.10,18.00,18.10,9.20,9.10,9.00,9.10,6.30,10.10,57.50,28.20,36.50,96.80,187.10,18.25,30.25,13.20,15.00,14.80,14.33,11.00,10.20,9.80,10.33,6.60,6.80,6.60,105.00,95.50,95.00,15.90,5.50,37.00,,,,,,,,0.00,16.20,16.00,16.40,16.20,,19.10,,,85.00,79.00,91.00,80.60,33.20,26.80,27.10,10.40,7.20,33.50,7.60,7.40,7.60,7.80,8.00,8.20,3.40,3.60,3.60,26.90,61.50,3.50000,3.69000,3.40000,3.44,3.70,3.45
