VT,MT,NAB_NAD,NAB_LED,BIKOND_LA,BIKOND_KO,OPS_NAD_FLEX,NAB_SUP,OPS_POT,NAB_POT,Somatotypo_Endo,Somatotypo_Meso,Somatotypo_Ecto,Eston_Endo,Eston_Meso,Eston_Ecto
184.8,68.1,6.33,9.07,7.1,9.7,30,4.87,34.5,4.53,1.76,3.21,4.54,1.75,3.22,4.59
182.5,80.2,14.97,14.33,6.8,10.4,31.2,17.33,40.3,15.3,4.42,4.5,2.39,4.3,4.5,2.44
178.6,68.6,7.07,8,7.1,8.6,34,5.27,39,6.8,1.84,4.79,3.35,1.83,4.79,3.4
198.2,102.1,12.33,14.27,7.6,10.5,39.4,10.87,40.2,8.6,3.29,4.87,2.46,3.24,4.88,2.51
182.2,79.25,5.63,7.73,7,9,33,4.87,40,5.93,1.56,4.48,2.46,1.55,4.49,2.52
184,77.2,4.87,7.87,7,9.5,39.5,6.4,37.7,8.07,1.64,5.38,3.05,1.63,5.39,3.1
178.6,72.7,8.67,11.47,6.5,9.6,34,6.33,38.5,8.4,2.53,4.74,2.74,2.5,4.74,2.79
170.5,69.2,8.97,13.17,6.4,9.5,34,5.13,34.7,7.73,2.75,5.05,1.81,2.72,5.05,1.86
173.9,83.3,14.6,20,6,9.3,33.3,14.6,35.2,14.73,4.84,3.87,0.8,4.69,3.87,0.83
187,78.4,18.1,9.1,6.3,10.1,36.5,10.33,37,16.2,3.5,3.69,3.4,3.44,3.7,3.45
191,90.6,11,11.13,6.1,10.5,39.6,17.73,41,9.33,3.64,4.71,2.54,3.57,4.71,2.6
175.3,68.2,10.97,9.9,6.4,8.9,31.5,7.03,37,11.03,3.74,3.87,2.82,2.71,3.87,2.87
176,66.2,11.17,8.97,6.4,8.6,31.3,6.27,37,10.03,2.56,3.57,3.26,2.54,3.57,3.31
168.5,87.2,21.67,16.4,6.9,10.1,38,16.13,39.1,13.6,5.41,7.22,0.1,5.18,7.23,0.5
178,77.6,11,11.57,6.5,9,35.5,7.47,36.5,6.2,2.92,4.41,1.96,2.88,4.41,2.01
172,71.2,7.33,10.13,6.4,9,35,5.77,33.5,8.47,2.29752,4.56752,1.79709,2.25,4.57,1.84
180.4,74.8,7.07,7.27,6.7,9.5,33.6,5.33,37.2,7.4,1.74903,4.37964,2.76106,1.73,4.38,2.81
182.6,83.2,10.07,11.47,7.7,11,37,7.13,40,8.27,2.70008,6.87053,2.03757,2.67,6.87,2.08
173.2,60.1,7.33,9.27,6.7,8.7,28.5,5.47,32,5,2.12282,3.07979,3.78688,2.1,3.08,3.83
175.1,73.8,7.93,14.83,6.7,9,33.5,12,40,3.6,3.46164,5.25045,1.97707,3.4,5.25,2.02
181.2,87.1,9.33,10.4,6.7,9.6,35.5,10.67,38,5,2.90284,4.81709,1.34241,2.86,4.82,1.39
172,79,9.07,15.27,7.5,10,35,9.8,39.5,12.2,3.46117,6.98556,0.92953,3.4,6.99,0.96
172.1,69.8,8.33,9.27,6.6,10,34,5.47,36,8,2.25464,5.53029,2.01662,2.23,5.53,2.06
181.9,81.8,5.8,10,7.2,10,37,7.33,39,7.13,2.11748,5.86986,2.09322,2.1,5.87,2.14
173.3,72.1,11.47,12.3,6.6,8.9,30.5,10.07,37,10.4,3.40404,4.11732,1.8988,3.35,4.12,1.94
174.7,71.4,5,7.43,6.1,8.6,35,5.33,37,6.6,1.59582,4.35344,2.24511,1.58,4.35,2.29
176.5,69.5,8.2,9.93,6.6,9.2,30,6.83,34,6.53,2.39948,3.4252,2.84396,2.37,3.43,2.89
177.5,75.1,7.87,10.73,5.7,9,33.7,15.8,40,4.67,3.37793,4.09955,2.21613,3.32,4.1,2.26
185.6,75.1,9.78,9.6,6.6,9.5,33.4,6.6,37,9.13,2.37135,3.46404,3.62147,2.35,3.46,3.67
176.3,79.3,4.5,7.6,6.9,9.5,34.1,5.93,39.5,4.2,1.60854,5.65248,1.45809,1.6,5.65,1.5
